settlement_date,settlement_period,ssp,sbp,net_imbalance_volume,sell_price_adjustment,buy_price_adjustment
2026-04-20,4,79.87012658227849,79.87012658227849,-67.11576253968254,0.0,0.0
2026-04-20,5,79.01,79.01,-191.46862828431372,0.0,0.0
2026-04-20,6,79.01,79.01,-181.5237848366013,0.0,0.0
2026-04-20,7,79.02,79.02,-146.60332412457913,0.0,0.0
2026-04-20,8,79.01,79.01,-210.8127548225957,0.0,0.0
2026-04-20,9,79.01,79.01,-464.3536784824629,0.0,0.0
2026-04-20,10,79.01,79.01,-563.048290315126,0.0,0.0
2026-04-20,11,79.01,79.01,-271.38497399121303,0.0,0.0
2026-04-20,12,79.01,79.01,-132.57712676562,0.0,0.0
2026-04-20,13,148.55094406170343,148.55094406170343,326.2148725921355,0.0,0.0
2026-04-20,14,144.44,144.44,517.06513680257,0.0,0.0
2026-04-20,15,145.0,145.0,509.7224395910149,0.0,0.0
